followers_count,friends_count,favorites_count,statuses_count,default_profile,default_profile_image,verified,bot
1291,0,0,78554,1,0,0,1
1,349,38,31,1,0,0,1
1086,0,0,713,1,0,0,1
33,0,0,676,1,1,0,1
11,745,146,185,0,0,0,1
1,186,0,11,1,0,0,1
193,0,0,6068,0,0,0,1
8227,2,26,2597,1,0,0,1
275,0,23,9922,0,0,0,1
51,3,0,2515,1,0,0,1
51,1,0,111,0,0,0,1
2,1,0,230,1,1,0,1
0,29,0,0,1,1,0,1
1,206,0,0,1,1,0,1
0,38,0,0,1,1,0,1
109,0,0,16067,1,0,0,1
250,0,0,31721,1,0,0,1
15,1941,319,406,0,0,0,1
190,1899,27,0,1,1,0,1
181,0,0,21506,1,1,0,1
10175,11465,328,65022,1,0,0,1
23,4,4,6230,0,0,0,1
106126,0,2,30156,1,0,0,1
2302,3,4,7640,0,0,0,1
443,2,6,9584,0,0,0,1
27,1,0,145,1,0,0,1
191,2,0,5684,0,0,0,1
1,35,54,82,1,0,0,1
651,0,0,19867,0,0,0,1
37,45,0,191,0,0,0,1
331,56,23,29989,1,0,0,1
1327,2,0,24199,1,0,0,1
0,52,0,0,1,1,0,1
54,0,2,1585,1,0,0,1
4247,2,587,109325,0,0,0,1
0,54,7,18,1,1,0,1
163,2,64,552492,1,0,0,1
32,1,0,6181,1,0,0,1
903,1,0,3654,0,0,0,1
108,10,10,537,0,0,0,1
190,1,1,4032,0,0,0,1
675,118,8,15437,0,0,0,1
1,340,33,49,1,0,0,1
89,1225,2,2,1,0,0,1
1076,0,0,12674,0,0,0,1
399,679,64,26073,0,0,0,1
394,3537,46,349,0,0,0,1
4,96,3,0,1,1,0,1
0,140,2,12,1,1,0,1
1334,0,7,59023,1,0,0,1
36,1,0,510,1,1,0,1
8,1,0,29,0,0,0,1
1451,1,0,15020,0,0,0,1
1807,101,124,125403,0,0,0,1
1,63,0,1,1,1,0,1
82,49,0,16728,0,0,0,1
2,20,66,127,1,0,0,1
0,25,56,73,1,0,0,1
78,1,0,4438,0,0,0,1
403,6,1,12395,0,0,0,1
7324,456,5109,3334,0,0,1,1
68,0,1,25193,1,0,0,1
108,1,0,19770,1,0,0,1
120,0,0,5614,1,0,0,1
0,330,21,29,1,0,0,1
0,22,71,100,1,0,0,1
15,19,0,19,0,0,0,1
23,0,0,63,0,0,0,1
127,180,76087,12702,0,0,0,1
175986,14914,1,18839,1,0,0,1
731,1,0,2576,1,0,0,1
182,0,0,433,1,0,0,1
123,0,0,29410,1,0,0,1
1287,1,0,62797,1,0,0,1
110,1797,12,4,1,0,0,1
9,0,0,1412,0,0,0,1
102437,3,0,13953,0,0,0,1
4,350,4,6,1,0,0,1
1,44,66,78,1,0,0,1
281,5,1,22739,1,0,0,1
104669,5438,385,7897,0,0,0,1
23472,2,120,59327,1,0,0,1
43,1,4,26955,1,0,0,1
11,74,0,1,1,0,0,1
928,0,0,71773,1,0,0,1
63,2,1,2672,1,0,0,1
71,2,1,644,1,0,0,1
131,2,0,4499,1,0,0,1
171,4,1,8808,0,0,0,1
6859,5458,73498,46537,1,0,0,1
3730,21,155,306026,0,0,0,1
4,244,10,17,1,0,0,1
277,4887,1,41,1,0,0,1
31,23,2,170,1,0,0,1
1078,0,0,2,0,0,0,1
8,0,0,123,1,0,0,1
14,3,0,13752,1,0,0,1
9978,10829,681,862,1,0,0,1
0,32,69,93,1,0,0,1
204,1,0,7491,0,0,0,1
20,9,0,2311,1,0,0,1
109,153,25,24,1,0,0,1
539,10,5,212479,1,0,0,1
227,292,0,12,1,1,0,1
105,4,0,1571,0,0,0,1
1022,0,0,403392,0,0,0,1
33,1526,1,1,1,0,0,1
4,19,0,0,1,1,0,1
1,342,41,43,1,0,0,1
0,310,17,27,1,0,0,1
1,420,88,80,1,0,0,1
0,346,14,28,1,0,0,1
23,0,0,376,0,0,0,1
254,16,43,13695,0,0,0,1
20,9,0,445,1,0,0,1
516,0,0,4145,1,0,0,1
5,464,78,88,1,0,0,1
447990,487927,4055,107503,0,0,0,1
1,338,26,30,1,0,0,1
255,1,0,12821,1,0,0,1
16,1862,285,392,0,0,0,1
268,99,0,5099,1,0,0,1
742,38,3,367778,1,0,0,1
61,31,0,627,1,0,0,1
105,1,9,570,0,0,0,1
26,35,9,9117,0,0,0,1
13,1,0,1035,0,0,0,1
7724,22,9,16682,1,0,0,1
38413,2,2722,146227,0,0,0,1
124,158,55,3597,0,0,0,1
142,14,0,26,1,0,0,1
434,0,0,3033,0,0,0,1
9,462,84,72,1,0,0,1
44,0,5,1220,1,1,0,1
505,3673,745,595,1,0,0,1
67078,0,0,12064,0,0,0,1
19048,2,7,220592,1,0,0,1
69508,70633,109,423314,0,0,0,1
0,100,0,0,1,1,0,1
30,0,0,1560,1,0,0,1
1,116,0,1,1,1,0,1
0,34,37,61,1,0,0,1
261,1,1,4776,0,0,0,1
1058,1,0,7678,1,0,0,1
15,1,2,75,1,0,0,1
14,0,2,3422,0,0,0,1
2,106,0,1,1,1,0,1
344,24,1,161,1,0,0,1
